NosAccts0WeeksOld,NosAccts1WeeksOld,NosAccts2WeeksOld,NosAccts3WeeksOld,NosAccts4WeeksOld,NosAccts5WeeksOld,NosAccts6WeeksOld,NosAccts7WeeksOld,NosAccts8WeeksOld,NosAccts9WeeksOld,NosAccts10WeeksOld,NosAccts11WeeksOld,NosAccts12WeeksOld,NosAccts13WeeksOld,NosAcctsOver13WeeksOld,CallVolProd1,CallVolProd2,CallVolProd3,CallVolProd4,Date,
41802,29921,53968,38646,27976,15032,12980,14725,13586,10990,14492,16223,17125,220527,33891354,306715,93582,63408,36534,11/1/09,45
56165,41391,29669,53416,38340,27831,15002,12935,14685,13558,10977,14479,16201,203705,33833968,302119,96301,59471,43675,11/8/09,
50248,55641,41103,29543,53015,38013,27767,14965,12904,14644,13511,10937,14413,196847,33759865,317169,94574,60317,43644,11/15/09,
35358,49632,54882,40585,29367,52566,37895,27718,14918,12878,14616,13498,10927,186434,33695376,279626,78209,54997,35080,11/22/09,
57969,35090,48898,54265,40109,29049,52243,37774,27625,14863,12855,14596,13483,177530,33627877,352383,103563,68149,44229,11/29/09,
61225,57367,34817,48327,53775,39789,28936,52044,37627,27526,14823,12840,14581,174350,33555782,333882,96151,70927,39342,12/6/09,
64202,60814,56932,34653,47948,53448,39623,28832,51840,37421,27282,14801,12831,174701,33474380,310555,98558,70397,37673,12/13/09,
45240,63752,60491,56733,34535,47780,53310,39536,28710,51635,37229,27247,14786,173207,33408189,247178,67441,53244,24513,12/20/09,
37556,44793,62669,59981,56074,34155,47549,53081,39392,28614,51437,37161,27226,174862,33346410,283747,83497,53562,28547,12/27/09,
48862,37278,44269,62091,59673,55728,33959,47411,52856,39123,28462,51280,37116,185610,33263016,333041,97911,62253,35957,1/3/10,
59584,48442,37076,43978,61735,59175,55426,33813,47134,52563,38995,28420,51196,207521,33160345,347347,110953,66824,40721,1/10/10,
51293,59073,48158,36960,43768,61515,58992,55291,33700,46783,52313,38881,28363,244035,33041839,326751,94330,66891,41202,1/17/10,
65417,50520,58275,47662,36589,43391,61284,58801,55077,33523,46643,52200,38789,255825,32922650,347632,87845,64820,40073,1/24/10,
46696,64781,49817,57656,47178,36233,43180,61094,58474,54540,33243,46443,52098,277428,32831357,365315,100935,66797,40286,1/31/10,
47894,46284,64315,49532,57235,46898,36075,43042,60822,58119,54355,33174,46348,313035,32731506,327828,100805,62464,41939,2/7/10,
45316,47427,45902,64108,49343,56944,46699,35971,42840,60334,57753,54254,33117,344723,32642338,337489,105336,64815,51783,2/14/10,
47751,44707,46996,45477,63513,48978,56777,46558,35829,42606,60172,57656,54152,366513,32545966,334813,97612,66241,58216,2/21/10,
44091,47181,44156,46399,44901,62594,48633,56536,46331,35635,42328,60001,57563,406546,32460964,339496,109801,69790,52163,2/28/10,
