East Coast (PADD 1) Product Supplied of Finished Motor Gasoline Monthly
http://www.eia.gov/beta/api/qb.cfm?sdid=PET.MGFUPP12.M
06:36:30 GMT-0400 (Eastern Daylight Time)
Source: Energy Information Administration
Month,Series ID: PET.MGFUPP12.M Thousand Barrels per Day
Jul 2015,3382
Jun 2015,3318
May 2015,3313
Apr 2015,3188
Mar 2015,3201
Feb 2015,2962
Jan 2015,3012
Dec 2014,3144
Nov 2014,3084
Oct 2014,3325
Sep 2014,3028
Aug 2014,3268
Jul 2014,3249
Jun 2014,3122
May 2014,3124
Apr 2014,3178
Mar 2014,3069
Feb 2014,3021
Jan 2014,2881
Dec 2013,2940
Nov 2013,2985
Oct 2013,3080
Sep 2013,3122
Aug 2013,3144
Jul 2013,3149
Jun 2013,3196
May 2013,3211
Apr 2013,3025
Mar 2013,3018
Feb 2013,2918
Jan 2013,2844
Dec 2012,2971
Nov 2012,2957
Oct 2012,3124
Sep 2012,3047
Aug 2012,3266
Jul 2012,3118
Jun 2012,3199
May 2012,3203
Apr 2012,3108
Mar 2012,3104
Feb 2012,3098
Jan 2012,3003
Dec 2011,3026
Nov 2011,3078
Oct 2011,3125
Sep 2011,3112
Aug 2011,3109
Jul 2011,3237
Jun 2011,3286
May 2011,3121
Apr 2011,3261
Mar 2011,3344
Feb 2011,3074
Jan 2011,2997
Dec 2010,3247
Nov 2010,3107
Oct 2010,3202
Sep 2010,3308
Aug 2010,3257
Jul 2010,3363
Jun 2010,3390
May 2010,3246
Apr 2010,3309
Mar 2010,3169
Feb 2010,3028
Jan 2010,3118
Dec 2009,3184
Nov 2009,3154
Oct 2009,3271
Sep 2009,3194
Aug 2009,3313
Jul 2009,3253
Jun 2009,3346
May 2009,3316
Apr 2009,3243
Mar 2009,3147
Feb 2009,3171
Jan 2009,3128
Dec 2008,3141
Nov 2008,3105
Oct 2008,3161
Sep 2008,3056
Aug 2008,3220
Jul 2008,3289
Jun 2008,3291
May 2008,3388
Apr 2008,3273
Mar 2008,3279
Feb 2008,3139
Jan 2008,3324
Dec 2007,3167
Nov 2007,3284
Oct 2007,3344
Sep 2007,3276
Aug 2007,3342
Jul 2007,3544
Jun 2007,3452
May 2007,3450
Apr 2007,3304
Mar 2007,3255
Feb 2007,3357
Jan 2007,3201
Dec 2006,3242
Nov 2006,3314
Oct 2006,3269
Sep 2006,3215
Aug 2006,3532
Jul 2006,3509
Jun 2006,3386
May 2006,3373
Apr 2006,3324
Mar 2006,3338
Feb 2006,3146
Jan 2006,3151
Dec 2005,3284
Nov 2005,3180
Oct 2005,3193
Sep 2005,3151
Aug 2005,3534
Jul 2005,3530
Jun 2005,3367
May 2005,3410
Apr 2005,3252
Mar 2005,3275
Feb 2005,3229
Jan 2005,3143
Dec 2004,3274
Nov 2004,3272
Oct 2004,3170
Sep 2004,3236
Aug 2004,3373
Jul 2004,3376
Jun 2004,3293
May 2004,3250
Apr 2004,3282
Mar 2004,3237
Feb 2004,3138
Jan 2004,3154
Dec 2003,3201
Nov 2003,3132
Oct 2003,3409
Sep 2003,3151
Aug 2003,3419
Jul 2003,3302
Jun 2003,3281
May 2003,3295
Apr 2003,3206
Mar 2003,3158
Feb 2003,2990
Jan 2003,3026
Dec 2002,3088
Nov 2002,3150
Oct 2002,3223
Sep 2002,3103
Aug 2002,3344
Jul 2002,3268
Jun 2002,3204
May 2002,3287
Apr 2002,3128
Mar 2002,3069
Feb 2002,3048
Jan 2002,2830
Dec 2001,3047
Nov 2001,3040
Oct 2001,3065
Sep 2001,2990
Aug 2001,3261
Jul 2001,3194
Jun 2001,3017
May 2001,3160
Apr 2001,2949
Mar 2001,2976
Feb 2001,2898
Jan 2001,2928
Dec 2000,3020
Nov 2000,2954
Oct 2000,2948
Sep 2000,3012
Aug 2000,3169
Jul 2000,2993
Jun 2000,3265
May 2000,3023
Apr 2000,2929
Mar 2000,2881
Feb 2000,2980
Jan 2000,2676
Dec 1999,3089
Nov 1999,2870
Oct 1999,3001
Sep 1999,3010
Aug 1999,2986
Jul 1999,3291
Jun 1999,3190
May 1999,3077
Apr 1999,3200
Mar 1999,2981
Feb 1999,2862
Jan 1999,2785
Dec 1998,3119
Nov 1998,2788
Oct 1998,3043
Sep 1998,3073
Aug 1998,3084
Jul 1998,3207
Jun 1998,3102
May 1998,3028
Apr 1998,2963
Mar 1998,2775
Feb 1998,2947
Jan 1998,2752
Dec 1997,2924
Nov 1997,2911
Oct 1997,2944
Sep 1997,2754
Aug 1997,2838
Jul 1997,2991
Jun 1997,2878
May 1997,2869
Apr 1997,2817
Mar 1997,2727
Feb 1997,2740
Jan 1997,2614
Dec 1996,2745
Nov 1996,2833
Oct 1996,2809
Sep 1996,2638
Aug 1996,2935
Jul 1996,2805
Jun 1996,2905
May 1996,2771
Apr 1996,2875
Mar 1996,2752
Feb 1996,2674
Jan 1996,2606
Dec 1995,2707
Nov 1995,2850
Oct 1995,2651
Sep 1995,2645
Aug 1995,2831
Jul 1995,2689
Jun 1995,2710
May 1995,2745
Apr 1995,2562
Mar 1995,2739
Feb 1995,2490
Jan 1995,2567
Dec 1994,2780
Nov 1994,2387
Oct 1994,2564
Sep 1994,2581
Aug 1994,2710
Jul 1994,2509
Jun 1994,2593
May 1994,2517
Apr 1994,2485
Mar 1994,2456
Feb 1994,2491
Jan 1994,2305
Dec 1993,2545
